Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
1997-10-10,1121.338013,1131.569946,1120.512939,1130.785034,1130.785034,0.0,180.92560544
1997-10-13,1136.428955,1138.401001,1117.389038,1119.817017,1119.817017,0.0,179.17072272
1997-10-14,1116.29895,1118.021973,1105.703979,1117.927979,1117.927979,0.0,178.86847664
1997-10-15,1119.108032,1129.654053,1116.428955,1125.781982,1125.781982,0.0,180.12511712
1997-10-16,1131.400024,1151.394043,1131.394043,1150.307007,1150.307007,0.0,184.04912112
1997-10-17,1155.421997,1180.218018,1153.895996,1176.489014,1176.489014,0.0,188.23824224
1997-10-20,1183.744019,1191.040039,1173.557007,1187.368042,1187.368042,0.0,189.97888672
1997-10-21,1190.494995,1192.339966,1179.573975,1191.869995,1191.869995,0.0,190.6991992
1997-10-22,1193.70105,1203.017944,1168.480957,1177.52002,1177.52002,0.0,188.4032032
1997-10-23,1178.983032,1186.067017,1170.232056,1173.364014,1173.364014,0.0,187.73824224
1997-10-24,1172.884033,1179.805054,1164.063965,1178.30603,1178.30603,0.0,188.5289648
1997-10-27,1183.646973,1235.944946,1183.646973,1235.827026,1235.827026,0.0,197.73232416
1997-10-28,1239.584961,1241.833008,1172.891968,1177.92395,1177.92395,0.0,188.467832
1997-10-29,1168.224976,1188.796997,1162.980957,1184.08606,1184.08606,0.0,189.4537696
1997-10-30,1189.265015,1207.969971,1173.649048,1174.845947,1174.845947,0.0,187.97535152
1997-10-31,1164.912964,1181.505981,1158.735962,1180.392944,1180.392944,0.0,188.86287104
1997-11-03,1181.161987,1185.06897,1176.546997,1180.854004,1180.854004,0.0,188.93664064
1997-11-04,1180.86499,1190.470947,1180.86499,1184.699951,1184.699951,0.0,189.55199216000003
1997-11-05,1186.094971,1194.672974,1179.350952,1194.037964,1194.037964,0.0,191.04607424
1997-11-06,1198.657959,1203.08606,1179.582031,1181.123047,1181.123047,0.0,188.97968752
1997-11-07,1181.776001,1195.73999,1177.631958,1195.140991,1195.140991,0.0,191.22255856
1997-11-10,1199.368042,1202.578979,1178.630981,1185.784058,1185.784058,0.0,189.72544928
1997-11-11,1183.417969,1187.744019,1168.482056,1186.634033,1186.634033,0.0,189.86144528
1997-11-12,1190.014038,1193.531006,1171.293945,1185.024048,1185.024048,0.0,189.60384768
1997-11-13,1169.703979,1185.281982,1157.293945,1185.024048,1185.024048,0.0,189.60384768
1997-11-14,1187.350952,1208.842041,1181.687012,1197.832031,1197.832031,0.0,191.65312496
1997-11-17,1210.677002,1213.228027,1190.43103,1191.333008,1191.333008,0.0,190.61328128
1997-11-18,1190.260986,1193.311035,1182.607056,1183.348999,1183.348999,0.0,189.33583984
1997-11-19,1185.103027,1191.963989,1175.782959,1181.626953,1181.626953,0.0,189.06031248
1997-11-20,1182.739014,1189.494995,1169.097046,1172.427002,1172.427002,0.0,187.58832032
1997-11-21,1168.968018,1169.10498,1152.008057,1158.555054,1158.555054,0.0,185.36880864
1997-11-24,1150.416016,1150.562988,1122.935059,1124.94104,1124.94104,0.0,179.9905664
1997-11-25,1120.864014,1131.126953,1114.137939,1125.527954,1125.527954,0.0,180.08447264
1997-11-26,1126.595947,1143.817993,1124.477051,1143.817993,1143.817993,0.0,183.01087888
1997-11-27,1141.77002,1141.970947,1120.519043,1122.515991,1122.515991,0.0,179.60255856
1997-11-28,1117.56897,1139.640991,1114.432983,1139.628052,1139.628052,0.0,182.34048832
1997-12-01,1137.588013,1139.292969,1130.448975,1133.087036,1133.087036,0.0,181.29392576
1997-12-02,1133.589966,1139.604004,1128.5,1130.166992,1130.166992,0.0,180.82671872
1997-12-03,1129.776978,1130.317993,1121.593018,1122.546021,1122.546021,0.0,179.60736336000002
1997-12-04,1121.802979,1137.012939,1119.20105,1135.873047,1135.873047,0.0,181.73968752
1997-12-05,1139.477051,1144.222046,1134.932007,1136.203979,1136.203979,0.0,181.79263664
1997-12-08,1140.546997,1143.079956,1136.578979,1139.322021,1139.322021,0.0,182.29152336
1997-12-09,1139.80603,1148.171021,1137.317017,1148.171021,1148.171021,0.0,183.70736336
1997-12-10,1150.475952,1158.989014,1149.832031,1157.842041,1157.842041,0.0,185.25472656
1997-12-11,1159.053955,1159.753052,1145.546021,1159.168945,1159.168945,0.0,185.4670312
1997-12-12,1160.220947,1165.812988,1153.432007,1153.839966,1153.839966,0.0,184.61439456
1997-12-15,1155.719971,1168.05603,1155.604004,1168.026001,1168.026001,0.0,186.88416016
1997-12-16,1170.462036,1174.807007,1165.600952,1174.802002,1174.802002,0.0,187.96832032
1997-12-17,1169.644043,1169.737061,1145.890991,1146.521973,1146.521973,0.0,183.44351568
1997-12-18,1142.099976,1159.110962,1138.397949,1154.166016,1154.166016,0.0,184.66656256
1997-12-19,1154.703003,1161.879028,1151.140991,1160.767944,1160.767944,0.0,185.72287104
1997-12-22,1162.682007,1169.029053,1153.439941,1169.006958,1169.006958,0.0,187.04111328
1997-12-23,1171.901978,1176.921997,1165.057007,1171.254028,1171.254028,0.0,187.40064448
1997-12-24,1171.734985,1173.540039,1164.858032,1169.66394,1169.66394,0.0,187.1462304
1997-12-25,1170.561035,1181.479004,1169.993042,1181.277954,1181.277954,0.0,189.00447264
1997-12-26,1187.751953,1194.237061,1186.526978,1191.918945,1191.918945,0.0,190.7070312
1997-12-29,1196.296997,1198.973999,1185.656006,1186.605957,1186.605957,0.0,189.85695312
1997-12-30,1186.139038,1193.621948,1179.55603,1181.142944,1181.142944,0.0,188.98287104
1997-12-31,1182.253052,1195.046997,1182.246948,1194.102051,1194.102051,0.0,191.05632816
1998-01-05,1200.947998,1220.494995,1200.222046,1220.473022,1220.473022,0.0,195.27568352
1998-01-06,1223.72998,1233.63501,1215.409058,1233.619995,1233.619995,0.0,197.3791992
1998-01-07,1233.956055,1244.098022,1231.145996,1244.069946,1244.069946,0.0,199.05119136
1998-01-08,1243.120972,1250.005005,1235.88501,1237.162964,1237.162964,0.0,197.94607424000003
1998-01-09,1233.70105,1244.999023,1221.296997,1239.901001,1239.901001,0.0,198.38416016
1998-01-12,1242.209961,1246.651001,1226.396973,1226.965942,1226.965942,0.0,196.31455072
1998-01-13,1211.883057,1211.883057,1110.087036,1167.646973,1167.646973,0.0,186.82351568
1998-01-14,1170.345947,1203.246948,1170.322021,1202.214966,1202.214966,0.0,192.35439456
1998-01-15,1210.421021,1217.864014,1196.147949,1215.43103,1215.43103,0.0,194.4689648
1998-01-16,1215.819946,1220.973999,1207.918945,1213.962036,1213.962036,0.0,194.23392576
1998-01-19,1215.407959,1216.987061,1205.479004,1213.129028,1213.129028,0.0,194.10064448000003
1998-01-20,1211.276001,1215.569946,1195.381958,1203.714966,1203.714966,0.0,192.59439456
1998-01-21,1201.988037,1209.688965,1198.228027,1200.203003,1200.203003,0.0,192.03248048
1998-01-22,1200.520996,1207.45105,1194.383057,1204.430054,1204.430054,0.0,192.70880864
1998-01-23,1206.494995,1224.121948,1206.453979,1222.912964,1222.912964,0.0,195.66607424000003
1998-02-09,1257.994995,1262.623047,1244.426025,1248.040039,1248.040039,0.0,199.68640624
1998-02-10,1248.595947,1248.595947,1233.697998,1236.512939,1236.512939,0.0,197.84207024
1998-02-11,1234.18103,1251.453003,1233.530029,1250.238037,1250.238037,0.0,200.03808592
1998-02-12,1253.38501,1254.411011,1241.995972,1246.295044,1246.295044,0.0,199.40720704
1998-02-13,1246.733032,1251.911987,1241.823975,1245.911011,1245.911011,0.0,199.34576176
1998-02-16,1246.796021,1247.964966,1230.917969,1236.235962,1236.235962,0.0,197.79775392
1998-02-17,1234.837036,1240.578979,1228.110962,1238.5,1238.5,0.0,198.16
1998-02-18,1239.633057,1240.177979,1225.496948,1229.831055,1229.831055,0.0,196.77296880000003
1998-02-19,1229.80896,1235.493042,1223.932007,1232.583984,1232.583984,0.0,197.21343744
1998-02-20,1234.600952,1237.915039,1224.583984,1226.02002,1226.02002,0.0,196.1632032
1998-02-23,1217.859009,1217.859009,1195.887939,1208.603027,1208.603027,0.0,193.37648432000003
1998-02-24,1206.925049,1216.353027,1206.089966,1208.218018,1208.218018,0.0,193.31488288
1998-02-25,1208.524048,1209.490967,1191.750977,1194.672974,1194.672974,0.0,191.14767584
1998-02-26,1193.003052,1206.67395,1189.512939,1206.67395,1206.67395,0.0,193.067832
1998-02-27,1209.442017,1213.729004,1202.86499,1206.530029,1206.530029,0.0,193.04480464
1998-03-02,1196.741943,1205.745972,1182.612061,1188.30603,1188.30603,0.0,190.1289648
1998-03-03,1186.52002,1201.800049,1185.302979,1201.78894,1201.78894,0.0,192.2862304
1998-03-04,1204.944946,1214.003052,1201.254028,1213.253052,1213.253052,0.0,194.12048832
1998-03-05,1217.850952,1219.284058,1206.371948,1207.541016,1207.541016,0.0,193.20656256
1998-03-06,1208.749023,1208.978027,1202.124023,1206.452026,1206.452026,0.0,193.03232416
1998-03-09,1207.958984,1208.615967,1197.56897,1200.833984,1200.833984,0.0,192.13343744
1998-03-10,1199.625,1205.832031,1186.551025,1199.832031,1199.832031,0.0,191.97312496
1998-03-11,1201.261963,1210.525024,1187.442017,1190.036987,1190.036987,0.0,190.40591792
1998-03-12,1187.537964,1188.281982,1175.553955,1178.969971,1178.969971,0.0,188.63519536
1998-03-13,1177.817017,1184.96106,1176.005005,1184.96106,1184.96106,0.0,189.59376960000003
1998-03-16,1186.186035,1188.616943,1179.439941,1188.482056,1188.482056,0.0,190.15712896
1998-03-17,1193.667969,1202.838989,1193.239014,1202.834961,1202.834961,0.0,192.45359376
1998-03-18,1204.103027,1204.740967,1191.906006,1193.909058,1193.909058,0.0,191.02544928
1998-03-19,1192.396973,1195.828979,1184.870972,1188.714966,1188.714966,0.0,190.19439456
1998-03-20,1188.594971,1192.322998,1183.246948,1187.500977,1187.500977,0.0,190.00015632
1998-03-23,1186.561035,1186.860962,1178.043945,1179.869019,1179.869019,0.0,188.77904304
1998-03-24,1180.093018,1194.05603,1179.973022,1194.016968,1194.016968,0.0,191.04271488
1998-03-25,1207.615967,1209.765991,1188.853027,1191.552979,1191.552979,0.0,190.64847664
1998-03-26,1191.000977,1193.81604,1186.223022,1188.86499,1188.86499,0.0,190.2183984
1998-03-27,1189.409058,1223.927979,1188.85498,1223.564941,1223.564941,0.0,195.77039056
1998-03-30,1230.94397,1249.442993,1228.29895,1249.435059,1249.435059,0.0,199.90960944
1998-03-31,1251.343018,1252.241943,1238.644043,1243.015991,1243.015991,0.0,198.88255856
1998-04-01,1243.373047,1255.01001,1240.057983,1254.964966,1254.964966,0.0,200.79439456
1998-04-02,1259.593018,1285.031982,1259.583008,1269.015015,1269.015015,0.0,203.0424024
1998-04-03,1268.56897,1286.107056,1266.031982,1286.083984,1286.083984,0.0,205.77343744
1998-04-06,1291.614014,1306.383057,1286.430054,1306.378052,1306.378052,0.0,209.02048832
1998-04-07,1308.55603,1310.287964,1296.541992,1303.140015,1303.140015,0.0,208.5024024
1998-04-08,1303.407959,1322.828003,1302.412964,1322.792969,1322.792969,0.0,211.64687504000003
1998-04-09,1326.44397,1328.78894,1288.887939,1297.224976,1297.224976,0.0,207.55599616
1998-04-10,1294.616943,1311.527954,1293.588013,1311.514038,1311.514038,0.0,209.84224608
1998-04-13,1319.944946,1326.295044,1311.832031,1318.748047,1318.748047,0.0,210.99968752
1998-04-14,1318.274048,1320.909058,1304.375,1313.720947,1313.720947,0.0,210.19535152
1998-04-15,1314.165039,1324.707031,1314.008057,1324.707031,1324.707031,0.0,211.95312496
1998-04-16,1324.036987,1326.42395,1312.564941,1316.245972,1316.245972,0.0,210.59935552
1998-04-17,1311.543945,1311.72998,1291.081055,1298.107056,1298.107056,0.0,207.69712896
1998-04-20,1292.161987,1302.982056,1286.584961,1296.005005,1296.005005,0.0,207.3608008
1998-04-21,1296.771973,1307.855957,1295.088013,1305.223022,1305.223022,0.0,208.83568352
1998-04-22,1307.832031,1333.06604,1307.832031,1322.182007,1322.182007,0.0,211.54912112
1998-04-23,1337.489014,1340.251953,1321.040039,1324.55896,1324.55896,0.0,211.9294336
1998-04-24,1324.454956,1331.85498,1313.609009,1315.166992,1315.166992,0.0,210.42671872
1998-04-27,1314.349976,1318.796997,1303.482056,1310.378052,1310.378052,0.0,209.66048832
1998-04-28,1315.345947,1333.089966,1315.328003,1332.98999,1332.98999,0.0,213.2783984
1998-04-29,1337.894043,1341.581055,1328.562988,1332.499023,1332.499023,0.0,213.19984368
1998-04-30,1336.01001,1343.459961,1335.54895,1343.447998,1343.447998,0.0,214.95167968
1998-05-04,1353.05603,1355.515991,1345.359009,1352.926025,1352.926025,0.0,216.468164
1998-05-05,1355.045044,1356.05603,1346.592041,1352.52002,1352.52002,0.0,216.4032032
1998-05-06,1352.723022,1355.656982,1341.80603,1348.411987,1348.411987,0.0,215.74591792
1998-05-07,1348.887939,1352.552002,1326.650024,1327.873047,1327.873047,0.0,212.45968752
1998-05-08,1324.741943,1357.604004,1324.723999,1357.594971,1357.594971,0.0,217.21519536
1998-05-11,1367.241943,1368.026001,1351.593018,1354.605957,1354.605957,0.0,216.73695312
1998-05-12,1358.958008,1360.063965,1342.733032,1349.649048,1349.649048,0.0,215.94384768
1998-05-13,1351.180054,1369.303955,1351.003052,1369.261963,1369.261963,0.0,219.08191408
1998-05-14,1373.171021,1376.297974,1360.890991,1367.126953,1367.126953,0.0,218.74031248
1998-05-15,1373.427002,1379.126953,1361.843018,1368.087036,1368.087036,0.0,218.89392576
1998-05-18,1373.670044,1376.384033,1360.468994,1368.182983,1368.182983,0.0,218.90927728
1998-05-19,1370.675049,1372.870972,1355.53894,1362.291992,1362.291992,0.0,217.96671872
1998-05-20,1362.69397,1365.102051,1352.166016,1357.43103,1357.43103,0.0,217.1889648
1998-05-21,1356.958984,1367.715942,1350.26001,1366.656006,1366.656006,0.0,218.66496096
1998-05-22,1371.36499,1379.890991,1370.719971,1375.817017,1375.817017,0.0,220.13072272
1998-05-25,1380.125977,1389.656006,1376.20105,1389.365967,1389.365967,0.0,222.29855472
1998-05-26,1392.75,1394.438965,1383.759033,1390.416016,1390.416016,0.0,222.46656256
1998-05-27,1393.738037,1399.541992,1390.550049,1399.541992,1399.541992,0.0,223.92671872
1998-05-28,1402.853027,1405.582031,1392.900024,1397.89502,1397.89502,0.0,223.6632032
1998-05-29,1402.675049,1411.347046,1402.017944,1411.208984,1411.208984,0.0,225.79343744
1998-06-01,1418.354004,1420.552979,1411.061035,1415.574951,1415.574951,0.0,226.49199216
